host,git,ort,model,variant,dtype,opt_level,req_provider,act_provider,threads,measurements,warmup,max_new_tokens,p50,p95,p99,enc_p50,dec_p50,model_rss_mb,ts
NightingaleCen-MacBook,unknown,1.27.0,STT,A,fp32,disable_all,cpu,CPUExecutionProvider,def,6,2,24,49.559853971004486,301.1043213773519,365.4135628137738,23.46460404805839,26.138728950172663,304.218112,20260724-202435
NightingaleCen-MacBook,unknown,1.27.0,STT,A,fp32,extended,xnnpack,CPUExecutionProvider,def,6,2,24,51.785104093141854,245.06512540392578,295.9232255350799,23.99914595298469,24.69008311163634,483.04947200000004,20260724-202436
NightingaleCen-MacBook,unknown,1.27.0,STT,A_sim,fp32,disable_all,cpu,CPUExecutionProvider,def,6,2,24,47.03731357585639,275.23500053212047,333.64110095426446,25.46297910157591,21.150812972337008,494.91148799999996,20260724-202436
NightingaleCen-MacBook,unknown,1.27.0,STT,A_sim,fp32,extended,xnnpack,CPUExecutionProvider,def,6,2,24,45.9203131031245,250.91276969760656,303.9387192577124,24.128500488586724,20.713083096779883,457.9328,20260724-202437
NightingaleCen-MacBook,unknown,1.27.0,STT,B,fp32,disable_all,cpu,CPUExecutionProvider,def,6,2,24,52.73133341688663,279.91026028757915,338.526885106694,26.25464601442218,25.13550000730902,458.276864,20260724-202438
NightingaleCen-MacBook,unknown,1.27.0,STT,B,fp32,extended,xnnpack,CPUExecutionProvider,def,6,2,24,48.789145424962044,249.2840659688227,301.6080166562461,24.770813062787056,22.313374560326338,458.473472,20260724-202439
NightingaleCen-MacBook,unknown,1.27.0,STT,C,int8,disable_all,cpu,CPUExecutionProvider,def,6,2,24,84.79514543432742,136.51121844304726,144.0077436505817,34.11964559927583,49.735812353901565,493.20755199999996,20260724-202439
NightingaleCen-MacBook,unknown,1.27.0,STT,C,int8,extended,xnnpack,CPUExecutionProvider,def,6,2,24,31.129666604101658,176.318654732313,214.14119600085544,18.27981253154576,9.691167040728033,465.174528,20260724-202440
NightingaleCen-MacBook,unknown,1.27.0,STT,D_cpu,int8,disable_all,cpu,CPUExecutionProvider,def,6,2,24,31.823270488530397,170.8251362433657,207.28512804489586,20.432208431884646,10.94218750949949,478.72409600000003,20260724-202441
NightingaleCen-MacBook,unknown,1.27.0,STT,D_cpu,int8,extended,xnnpack,CPUExecutionProvider,def,6,2,24,30.27641703374684,172.62470547575504,210.12133809272203,18.928416538983583,12.493374990299344,399.27808,20260724-202441
