host,git,ort,model,variant,dtype,opt_level,req_provider,act_provider,threads,measurements,warmup,max_new_tokens,p50,p95,p99,enc_p50,dec_p50,model_rss_mb,wer,cer,acc_n,ts
NightingaleCen-MacBook,bd1023d,1.27.0,STT,A,fp32,disable_all,cpu,CPUExecutionProvider,def,3,1,24,31.712666153907776,34.83660377096385,35.114287114702165,14.844709075987339,17.31129107065499,567.918592,1.0,1.0,2,20260724-234707
NightingaleCen-MacBook,bd1023d,1.27.0,STT,A,fp32,extended,xnnpack,CPUExecutionProvider,def,3,1,24,28.35737611167133,33.68019999470562,34.153339895419776,14.213167130947113,14.144208980724216,704.364544,1.0,1.0,2,20260724-234707
NightingaleCen-MacBook,bd1023d,1.27.0,STT,A_sim,fp32,disable_all,cpu,CPUExecutionProvider,def,3,1,24,33.89691701158881,37.32539138291031,37.63014466036111,17.195875057950616,19.076500087976456,745.79968,1.0,1.0,2,20260724-234707
NightingaleCen-MacBook,bd1023d,1.27.0,STT,A_sim,fp32,extended,xnnpack,CPUExecutionProvider,def,3,1,24,29.39795912243426,32.2091082111001,32.45898813009262,13.87629215605557,15.521666966378689,747.585536,1.0,1.0,2,20260724-234708
NightingaleCen-MacBook,bd1023d,1.27.0,STT,B,fp32,disable_all,cpu,CPUExecutionProvider,def,3,1,24,32.9072498716414,53.30117444973439,55.11396774556488,17.43174996227026,16.57600002363324,747.7166080000001,1.0,1.0,2,20260724-234708
NightingaleCen-MacBook,bd1023d,1.27.0,STT,B,fp32,extended,xnnpack,CPUExecutionProvider,def,3,1,24,36.941083148121834,38.46422038041055,38.599610356613994,16.28879108466208,20.04304202273488,753.90976,1.0,1.0,2,20260724-234709
NightingaleCen-MacBook,bd1023d,1.27.0,STT,C,int8,disable_all,cpu,CPUExecutionProvider,def,3,1,24,114.98383060097694,501.0903202928602,535.410897154361,21.527540870010853,93.45628973096609,808.861696,1.0,1.0,2,20260724-234710
NightingaleCen-MacBook,bd1023d,1.27.0,STT,C,int8,extended,xnnpack,CPUExecutionProvider,def,3,1,24,59.70158218406141,65.57063437066972,66.09232789836824,12.80399993993342,46.099415980279446,795.508736,1.0,1.0,2,20260724-234710
NightingaleCen-MacBook,bd1023d,1.27.0,STT,D_cpu,int8,disable_all,cpu,CPUExecutionProvider,def,3,1,24,56.30362522788346,60.6143988436088,60.99757872056216,12.443624902516603,45.775209087878466,805.617664,1.0,1.0,2,20260724-234710
NightingaleCen-MacBook,bd1023d,1.27.0,STT,D_cpu,int8,extended,xnnpack,CPUExecutionProvider,def,3,1,24,52.86587728187442,64.86527449451387,65.93188758008182,10.512958047911525,42.35291923396289,806.125568,1.0,1.0,2,20260724-234711
